"total_rewards","action_rewards","opinion_rewards"
25074,12521,12553
23982,11985,11997
23420,11134,12286
23620,11466,12154
23559,11155,12404
23559,11271,12288
23968,11816,12152
22772,10597,12175
23438,11201,12237
24815,12354,12461
21860,9869,11991
22385,10607,11778
24664,12272,12392
23496,11342,12154
24420,12035,12385
24380,11998,12382
22891,10698,12193
23670,11270,12400
23076,10898,12178
21799,9694,12105
22866,10798,12068
24167,11739,12428
23424,11133,12291
24155,11739,12416
23985,11816,12169
24110,11752,12358
24078,11743,12335
22247,10148,12099
22573,10397,12176
23400,11243,12157
20287,8653,11634
24562,12174,12388
23869,11706,12163
21862,9775,12087
24533,12199,12334
23887,11634,12253
24257,11963,12294
24377,12003,12374
23059,10861,12198
22893,10825,12068
24918,12536,12382
23537,11405,12132
24224,11907,12317
24218,11868,12350
22998,10729,12269
24711,12343,12368
23019,10867,12152
24297,12019,12278
23297,11253,12044
24054,11662,12392
22496,10356,12140
22996,10777,12219
23395,11079,12316
22576,10470,12106
25101,12763,12338
21874,9854,12020
23461,11232,12229
22212,10245,11967
23940,11706,12234
23555,11378,12177
23911,11574,12337
24787,12535,12252
22668,10689,11979
22749,10567,12182
23005,10772,12233
22471,10701,11770
24156,11985,12171
23679,11483,12196
23496,11324,12172
22934,10876,12058
23371,11194,12177
24463,12068,12395
23995,11696,12299
24755,12588,12167
23917,11615,12302
23473,11293,12180
22382,10366,12016
22646,10713,11933
21958,9903,12055
22602,10468,12134
23071,11030,12041
22150,10257,11893
22517,10351,12166
24406,12393,12013
24007,11742,12265
23712,11602,12110
24019,11798,12221
22294,10599,11695
23412,11265,12147
23255,11119,12136
22657,10606,12051
23130,10984,12146
24059,11802,12257
24661,12437,12224
23036,10915,12121
24979,12629,12350
23732,11576,12156
24372,12218,12154
22511,10522,11989
23253,11281,11972
22711,10698,12013
22985,10895,12090
23018,10881,12137
23481,11302,12179
23105,10990,12115
23619,11354,12265
22128,10223,11905
24874,12494,12380
24700,12341,12359
23314,11458,11856
23084,10931,12153
23617,11525,12092
24476,12240,12236
23628,11481,12147
24320,12076,12244
22178,10194,11984
22726,10589,12137
23854,11740,12114
23566,11675,11891
23193,11122,12071
21633,9812,11821
22981,10882,12099
23359,11217,12142
23399,11237,12162
23828,11614,12214
