"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
121994,67711,54283,-0.0929612070643171,1.52421181520278
121997,67701,54296,-0.094206470549563,1.52014598299919
122018,67720,54298,-0.0909702061787109,1.51286423979327
121977,67722,54255,-0.0897645738153105,1.4964133401613
121980,67707,54273,-0.0927475577269599,1.49586138022556
121982,67705,54277,-0.092320745265368,1.4867771892258
121987,67703,54284,-0.0920615684788076,1.48498606228862
121932,67707,54225,-0.0923448143865574,1.4735482935328
121930,67715,54215,-0.092637044441455,1.46801998041232
121915,67711,54204,-0.0938438998407285,1.4592928507577
121939,67711,54228,-0.0939271039400906,1.44338151183911
122098,67715,54383,-0.0952508472994933,1.44330735124902
122152,67721,54431,-0.0937671104490371,1.44546038664623
122143,67713,54430,-0.0939770826010896,1.43466354651715
122106,67693,54413,-0.097062381498968,1.42514781395651
122097,67691,54406,-0.0969733041136351,1.41624475748448
122053,67686,54367,-0.0986568862943386,1.40206113264642
122000,67696,54304,-0.0997265736060482,1.38464731510559
122055,67697,54358,-0.0994117697448845,1.38072628921575
122060,67685,54375,-0.101217517488178,1.38653443490832
122056,67684,54372,-0.103700987449702,1.37617799944498
122180,67705,54475,-0.100739727084014,1.37066868804819
122073,67697,54376,-0.101070147807265,1.35881339026065
122043,67683,54360,-0.102128754049177,1.34777512502941
122156,67670,54486,-0.102572316578616,1.34848067598756
122247,67674,54573,-0.103168721868133,1.34438962185628
122190,67682,54508,-0.103102774191013,1.31904635118236
122225,67690,54535,-0.102510158696598,1.31414513920264
122303,67666,54637,-0.106551111941371,1.31231779779138
122349,67672,54677,-0.104924660209773,1.31228352801197
122328,67666,54662,-0.105992544409144,1.29682480978187
122400,67656,54744,-0.107814301706888,1.28597244626885
122291,67645,54646,-0.108897875989417,1.26136132139205
122329,67663,54666,-0.107308789483531,1.2538231468442
122320,67657,54663,-0.10989693298457,1.24782029256987
122308,67655,54653,-0.110345104264773,1.23383744309487
122377,67653,54724,-0.112062681802093,1.22005664287982
122446,67669,54777,-0.107172307595928,1.22799521289893
122597,67677,54920,-0.105888705432219,1.23710462960034
122554,67667,54887,-0.10641295253696,1.22978284605567
122547,67663,54884,-0.109337876585116,1.21871662139893
122559,67664,54895,-0.109244811475086,1.20452110069931
122652,67687,54965,-0.10580908132172,1.19856991934251
122593,67675,54918,-0.107147563536736,1.18194277154213
122600,67679,54921,-0.107448152601137,1.17521513428391
122606,67679,54927,-0.107622915029192,1.1701683373668
122530,67677,54853,-0.107605727455468,1.16066895156506
122525,67667,54858,-0.109283426138493,1.1461864325038
122577,67673,54904,-0.108193386454447,1.13030946753199
122617,67681,54936,-0.107877460297393,1.13705322057834
122572,67681,54891,-0.112799070934786,1.12465200007586
122607,67671,54936,-0.111754253798757,1.11525494183668
122558,67682,54876,-0.110784918060844,1.10236452544447
122581,67664,54917,-0.114706730716386,1.10539467883169
122567,67655,54912,-0.114413711367392,1.09382044926751
122565,67646,54919,-0.117207841206982,1.08830102431715
122576,67652,54924,-0.115390985972904,1.08110261828512
122604,67648,54956,-0.114192432440971,1.07318366074469
122694,67670,55024,-0.112097118501366,1.07641985399056
122683,67676,55007,-0.10962160742413,1.06986847167665
122647,67674,54973,-0.111852868965467,1.06155473608629
122641,67664,54977,-0.113433935092392,1.05364013603804
122714,67670,55044,-0.114698237907644,1.05492210362572
122682,67671,55011,-0.115026992773611,1.04465350360737
122718,67648,55070,-0.120368878398255,1.03882695296356
122697,67636,55061,-0.118765272331472,1.03229232148098
122745,67626,55119,-0.122254343967705,1.02060052952306
122679,67634,55045,-0.120478376131425,1.01654208663385
122586,67640,54946,-0.121399915512699,1.00683723771892
122588,67648,54940,-0.119046679144561,1.00477340774272
122651,67656,54995,-0.118930608795728,0.994550208952701
122638,67658,54980,-0.117757015054601,0.994957584318366
122618,67643,54975,-0.121388913191119,0.983768565971828
122684,67644,55040,-0.12003318962485,0.988935784718805
122735,67644,55091,-0.120217313236472,0.994473936247893
122623,67646,54977,-0.120350911550155,0.976371190653034
122669,67644,55025,-0.122830472480167,0.974660482090919
122710,67654,55056,-0.122774381190274,0.967842629203171
122827,67652,55175,-0.122521500773093,0.97690199266971
122859,67662,55197,-0.120249336843368,0.975278329819081
122860,67668,55192,-0.118571884161396,0.964255947481036
122691,67646,55045,-0.123609964606029,0.94540318753147
122680,67636,55044,-0.125053794737588,0.942042457778536
122712,67625,55087,-0.127078819357981,0.942226670279739
122746,67628,55118,-0.129071761545095,0.943217266031372
122879,67651,55228,-0.125857472446858,0.944175360788358
122918,67655,55263,-0.123164454911735,0.939725145301782
122934,67641,55293,-0.124862704945554,0.93781910748221
122972,67641,55331,-0.125858410717576,0.93886577841212
122963,67615,55348,-0.130894252507476,0.93054787565753
123035,67621,55414,-0.131439189858528,0.936388201539045
122993,67619,55374,-0.134425017689302,0.925306487217048
123032,67631,55401,-0.131143995442571,0.928763747160768
122984,67629,55355,-0.129753382999942,0.925779309466121
122957,67611,55346,-0.131793904855625,0.920285904870517
123066,67623,55443,-0.130292789539486,0.91862177036237
122933,67602,55331,-0.135156138936343,0.901973341345067
123022,67611,55411,-0.135998505920659,0.907499612738188
123128,67625,55503,-0.133353049178814,0.901124216655841
123128,67621,55507,-0.133382088315821,0.897823671215023
123177,67617,55560,-0.134999561947718,0.896186108024135
123215,67619,55596,-0.133872590494205,0.907037342231805
123096,67595,55501,-0.138089155052677,0.888607368470085
123228,67617,55611,-0.134935856598895,0.891191299542234
123166,67597,55569,-0.14305009489379,0.883627428858943
123177,67592,55585,-0.144329228791652,0.865779679224149
123194,67597,55597,-0.140936455856321,0.853463772281644
123230,67593,55637,-0.138473531461204,0.848992963271237
123283,67599,55684,-0.139726793168467,0.84944318087073
123171,67599,55572,-0.140250017804713,0.835341693427075
123193,67631,55562,-0.134944748460178,0.830160976582821
123157,67601,55556,-0.138459710810011,0.824884931247322
123075,67573,55502,-0.143027027923116,0.820047094407809
123027,67567,55460,-0.144200189946621,0.812019405847902
123178,67591,55587,-0.142631472835968,0.802192395425465
123254,67593,55661,-0.140944397173668,0.803832265634132
123340,67593,55747,-0.138434969071055,0.80466779646125
123283,67597,55686,-0.143496403530431,0.790856293125332
123216,67573,55643,-0.148206035729857,0.776153276970779
123147,67559,55588,-0.150961699868574,0.768250343661269
123159,67553,55606,-0.151992129549961,0.76645264562103
123167,67563,55604,-0.149839723210078,0.765970580562399
123145,67539,55606,-0.15116075637753,0.750767209025269
123218,67553,55665,-0.149786736658478,0.751344934072536
123282,67549,55733,-0.153423234668761,0.747645234609213
123194,67539,55655,-0.155980892662509,0.740240641581741
123198,67541,55657,-0.15634428899132,0.733264052808359
123292,67535,55757,-0.154977378612437,0.736675070689737
123352,67530,55822,-0.156746842163821,0.734052955962993
123198,67532,55666,-0.158531451076322,0.720700515100775
123202,67524,55678,-0.158784313634599,0.71349043003548
123314,67524,55790,-0.158578111659683,0.713172589955767
123297,67525,55772,-0.160685362774397,0.700299942229917
123415,67528,55887,-0.158223599164392,0.706886624206725
123302,67510,55792,-0.163322419567769,0.693782536787595
123286,67498,55788,-0.168096150836473,0.682299177856079
123180,67486,55694,-0.170541512300737,0.667051916244038
123208,67511,55697,-0.168851257401217,0.66655620783832
123289,67523,55766,-0.162476951246076,0.665175165761453
123368,67515,55853,-0.160999525950121,0.665324810462665
123406,67475,55931,-0.168590991316755,0.661872431738514
123328,67467,55861,-0.171208792007449,0.660757565428503
123368,67485,55883,-0.170275058263955,0.65166696128065
